, Mean of the integrated profile, Standard deviation of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
0,121.15625,48.37297113,-0.0131654889999999,3.168896321,65.15929771,0.0
1,76.96875,36.17555664,3.3887185630000003,2.399665552,102.7229747,0.0
2,130.5859375,53.22953353,-0.297241641,2.743311037,74.03132420000001,0.0
3,156.3984375,48.86594223,-0.171293649,17.47157191,7.197841911,0.0
4,84.8046875,36.11765898,3.274125373,2.790133779,76.29112787,0.0
5,121.0078125,47.17694354,0.09133623,2.036789298,112.1317212,0.0
6,79.34375,42.40217372,2.24437669,141.6413043,-1.2006531740000002,0.0
7,109.40625,55.91252061,0.056246664,2.797658863,97.37457842,0.0
8,95.0078125,40.21980546,1.1531643809999998,2.77006689,70.80193775,0.0
9,109.15625,47.00223357,0.190295686,4.5785953180000005,36.34249260000001,0.0
10,130.0859375,46.40262441,-0.034468391,5.050167224,38.15478586,0.0
11,96.9375,40.53735738,0.755829381,1.971571906,202.68664,0.0
12,146.6953125,47.80617746,0.554926309,2.885451505,112.6258021,0.0
13,128.734375,48.69556005,0.30780294,5.307692308,32.73983291,0.0
14,102.3671875,49.842074200000006,0.180464824,1.918896321,141.93611909999998,0.0
15,125.609375,53.51478102,-0.413431636,2.2466555180000003,129.5236723,0.0
16,150.09375,56.70047915,-0.59470588,137.1488294,0.598846574,0.0
17,104.5625,46.65879305,0.1653459609999999,0.473244147,559.6798641,0.0
18,115.78125,53.30571286,-0.518847463,3.5652173910000005,65.02484401,0.0
19,133.125,59.95727646,-0.804890239,31.55351171,1.35850768,0.0
20,125.1484375,46.00001526,-0.041770772,3.218227425,69.18786779,0.0
21,99.28125,71.95646877,-0.82764003,197.2341137,2.431296609,0.0
22,83.9375,45.71271534,1.342901713,1.7474916390000002,105.52577900947718,0.0
23,135.1328125,47.87179674,0.37556666,5.22993311,39.37255786,0.0
24,111.7109375,46.57053661,-0.061646003,2.139632107,97.73376005,0.0
25,127.328125,45.33953665,-0.2065322289999999,3.955685619,46.62379063,0.0
26,101.9140625,52.23953653,-0.291253721,9.372073579,16.64677944,0.0
27,108.7421875,47.58910164,0.245138892,17.37959866,6.628034558,0.0
28,128.484375,50.99141845,-0.495919613,1.7566889630000002,152.8897009,0.0
29,102.234375,44.50780907,0.455562472,4.75083612,39.41359715,0.0
30,98.5703125,45.06950944,0.853318645,1.815217391,146.393325,0.0
31,36.7109375,38.26024216,20.29698008,107.2123746,-0.819637695,1.0
32,108.7578125,47.47083744,-0.011839737,3.4289297660000004,58.33907469,0.0
33,117.6796875,47.45704202,-0.13550329,2.731605351,71.5876406,0.0
34,43.5,28.49122672,26.33986977,39.58528428,1.403351821,1.0
